Date, Open, High, Low, Close,,Monthly Average (Close),,,Monthly Return,,
10/1/2020,27940.63,28041.46,27669.26,27816.9,,2019/09,26900.214,,,,Average Monthly Return
9/30/2020,27514.64,28026.33,27511.06,27781.7,,2019/10,26736.79609,,-0.006074967,,0.005181814
9/29/2020,27560.24,27605.6,27338.09,27452.66,,2019/11,27797.046,,0.039655085,,
9/28/2020,27362.14,27722.6,27362.14,27584.06,,2019/12,28167.00571,,0.013309318,,Average Monthly Standard Deviation
9/25/2020,26694.51,27239.29,26635.38,27173.96,,2020/01,28879.99429,,0.025312899,,0.071631723
9/24/2020,26716.09,27094.85,26537.01,26815.44,,2020/02,28563.649,,-0.010953786,,
9/23/2020,27413.6,27464.46,26716.12,26763.13,,2020/03,22637.42091,,-0.207474475,,
9/22/2020,27170.34,27333.09,26989.93,27288.18,,2020/04,23293.9,,0.02899973,,
9/21/2020,27484.71,27484.71,26715.15,27147.7,,2020/05,24271.0215,,0.041947527,,
9/18/2020,27864.87,27946.69,27487.97,27657.42,,2020/06,26062.27,,0.073801941,,
9/17/2020,27834.18,28056.79,27647.93,27901.98,,2020/07,26385.83091,,0.012414917,,
9/16/2020,28031.69,28364.77,28021.67,28032.38,,2020/08,27821.36714,,0.054405572,,
9/15/2020,28139.76,28231.06,27931.45,27995.6,,2020/09,27733.39619,,-0.003161992,,
9/14/2020,27718.74,28086.06,27718.74,27993.33,,,,,,,
9/11/2020,27613.86,27828.82,27448.15,27665.64,,,,,,,
9/10/2020,28022.51,28174.78,27447.08,27534.58,,,,,,,
9/9/2020,27711.71,28206.21,27704.54,27940.47,,,,,,,
9/8/2020,27925.23,27925.23,27464.9,27500.89,,,,,,,
9/4/2020,28341.05,28539.75,27664.68,28133.31,,,,,,,
9/3/2020,29090.7,29199.35,28074.76,28292.73,,,,,,,
9/2/2020,28736.79,29162.88,28713.53,29100.5,,,,,,,
9/1/2020,28439.61,28659.26,28290.72,28645.66,,,,,,,
8/31/2020,28643.66,28643.66,28363.55,28430.05,,,,,,,
8/28/2020,28601.29,28733.35,28487.98,28653.87,,,,,,,
8/27/2020,28384.07,28634.22,28363.93,28492.27,,,,,,,
8/26/2020,28257.88,28353.8,28153.91,28331.92,,,,,,,
8/25/2020,28347.42,28400.74,28094.57,28248.44,,,,,,,
8/24/2020,28077.58,28314.94,28041.75,28308.46,,,,,,,
8/21/2020,27758.13,27959.48,27686.78,27930.33,,,,,,,
8/20/2020,27622.68,27781.46,27526.25,27739.73,,,,,,,
8/19/2020,27811.26,27920.42,27647.67,27692.88,,,,,,,
8/18/2020,27853.48,27891.12,27668.79,27778.07,,,,,,,
8/17/2020,27970.05,27999.81,27816.4,27844.91,,,,,,,
8/14/2020,27828.93,27977.81,27759.39,27931.02,,,,,,,
8/13/2020,27922.51,27986.1,27789.78,27896.72,,,,,,,
8/12/2020,27860.24,28043.89,27843.32,27976.84,,,,,,,
8/11/2020,27961.64,28154.88,27624.51,27686.91,,,,,,,
8/10/2020,27488.21,27803.86,27488.21,27791.44,,,,,,,
8/7/2020,27321.68,27456.24,27223.55,27433.48,,,,,,,
8/6/2020,27170.82,27394.1,27145.25,27386.98,,,,,,,
8/5/2020,26924.78,27221.67,26924.78,27201.52,,,,,,,
8/4/2020,26664.61,26832.72,26597.82,26828.47,,,,,,,
8/3/2020,26542.32,26707.26,26534.38,26664.4,,,,,,,
7/31/2020,26409.33,26440.02,26013.59,26428.32,,,,,,,
7/30/2020,26367.42,26374.93,25992.28,26313.65,,,,,,,
7/29/2020,26388.44,26602.45,26375.39,26539.57,,,,,,,
7/28/2020,26529.45,26556.84,26361.71,26379.28,,,,,,,
7/27/2020,26447.67,26625.46,26426.92,26584.77,,,,,,,
7/24/2020,26533.41,26625.7,26402.86,26469.89,,,,,,,
7/23/2020,26955.97,26973.85,26560.04,26652.33,,,,,,,
7/22/2020,26824.56,27035.24,26794.19,27005.84,,,,,,,
7/21/2020,26833.14,27025.38,26766.22,26840.4,,,,,,,
7/20/2020,26660.29,26765.02,26504.2,26680.87,,,,,,,
7/17/2020,26774.62,26808.43,26619.88,26671.95,,,,,,,
7/16/2020,26746.57,26879.16,26590.01,26734.71,,,,,,,
7/15/2020,27009.81,27071.33,26692.48,26870.1,,,,,,,
7/14/2020,26044.17,26690.52,25994.98,26642.59,,,,,,,
7/13/2020,26225.07,26639.09,26044.23,26085.8,,,,,,,
7/10/2020,25690.35,26101.32,25637.5,26075.3,,,,,,,
7/9/2020,26094.92,26103.28,25523.51,25706.09,,,,,,,
7/8/2020,25950.06,26109.49,25816.25,26067.28,,,,,,,
7/7/2020,26172.01,26174.93,25866.58,25890.18,,,,,,,
7/6/2020,25996.08,26297.53,25996.08,26287.03,,,,,,,
7/2/2020,25936.45,26204.41,25778.12,25827.36,,,,,,,
7/1/2020,25879.38,26019.31,25713.61,25734.97,,,,,,,
6/30/2020,25512.43,25905.38,25475.14,25812.88,,,,,,,
6/29/2020,25152.45,25601.15,25096.16,25595.8,,,,,,,
6/26/2020,25641.69,25641.69,24971.03,25015.55,,,,,,,
6/25/2020,25365.22,25769.61,25209.79,25745.6,,,,,,,
6/24/2020,25992.96,25992.96,25296.73,25445.94,,,,,,,
6/23/2020,26159.39,26314.97,26105.97,26156.1,,,,,,,
6/22/2020,25865.08,26059.81,25667.68,26024.96,,,,,,,
6/19/2020,26213.1,26451.44,25759.66,25871.46,,,,,,,
6/18/2020,26016.45,26154.2,25848.53,26080.1,,,,,,,
6/17/2020,26330.52,26400.07,26068.41,26119.61,,,,,,,
6/16/2020,26326.68,26611.03,25811.7,26289.98,,,,,,,
6/15/2020,25270.39,25891.58,24843.18,25763.16,,,,,,,
6/12/2020,25659.42,25965.55,25078.41,25605.54,,,,,,,
6/11/2020,26282.51,26294.08,25082.72,25128.17,,,,,,,
6/10/2020,27251.89,27355.22,26938.05,26989.99,,,,,,,
6/9/2020,27447.37,27447.37,27151.06,27272.3,,,,,,,
6/8/2020,27232.93,27580.21,27232.48,27572.44,,,,,,,
6/5/2020,26836.8,27338.3,26836.8,27110.98,,,,,,,
6/4/2020,26226.49,26384.1,26082.31,26281.82,,,,,,,
6/3/2020,25906.88,26337.75,25906.88,26269.89,,,,,,,
6/2/2020,25582.52,25743.13,25523.74,25742.65,,,,,,,
6/1/2020,25342.99,25508.83,25220.66,25475.02,,,,,,,
5/29/2020,25324.15,25482.8,25031.67,25383.11,,,,,,,
5/28/2020,25697.36,25758.79,25358.73,25400.64,,,,,,,
5/27/2020,25298.63,25551.56,25009.87,25548.27,,,,,,,
5/26/2020,24781.84,25176.42,24781.84,24995.11,,,,,,,
5/22/2020,24461.98,24481.64,24294.07,24465.16,,,,,,,
5/21/2020,24564.27,24718.46,24370.88,24474.12,,,,,,,
5/20/2020,24455.94,24649.48,24455.94,24575.9,,,,,,,
5/19/2020,24577.48,24599.5,24202.96,24206.86,,,,,,,
5/18/2020,24059.98,24708.54,24059.98,24597.37,,,,,,,
5/15/2020,23454.83,23730.08,23354.15,23685.42,,,,,,,
5/14/2020,23049.06,23630.86,22789.62,23625.34,,,,,,,
5/13/2020,23702.16,23708.9,23067.64,23247.97,,,,,,,
5/12/2020,24292.84,24382.09,23761.58,23764.78,,,,,,,
5/11/2020,24256.45,24366.21,24070.22,24221.99,,,,,,,
5/8/2020,24107.82,24349.9,24107.05,24331.32,,,,,,,
5/7/2020,23837.21,24094.62,23834.39,23875.89,,,,,,,
5/6/2020,23978.88,24054.59,23661.14,23664.64,,,,,,,
5/5/2020,23958.88,24169.72,23868.91,23883.09,,,,,,,
5/4/2020,23581.55,23769.56,23361.16,23749.76,,,,,,,
5/1/2020,24120.78,24120.78,23645.3,23723.69,,,,,,,
4/30/2020,24585.57,24585.57,24186.9,24345.72,,,,,,,
4/29/2020,24490.37,24764.77,24453.99,24633.86,,,,,,,
4/28/2020,24357.17,24512.24,24031.2,24101.55,,,,,,,
4/27/2020,23866.15,24207.65,23840.61,24133.78,,,,,,,
4/24/2020,23628.24,23826,23417.68,23775.27,,,,,,,
4/23/2020,23543.09,23885.36,23483.35,23515.26,,,,,,,
4/22/2020,23437.34,23613.1,23339.6,23475.82,,,,,,,
4/21/2020,23365.25,23365.25,22941.88,23018.88,,,,,,,
4/20/2020,24095.1,24108.69,23627.19,23650.44,,,,,,,
4/17/2020,23817.15,24264.21,23817.15,24242.49,,,,,,,
4/16/2020,23543.66,23598.08,23211.38,23537.68,,,,,,,
4/15/2020,23600.72,23649.72,23233.32,23504.35,,,,,,,
4/14/2020,23690.57,24040.58,23683.44,23949.76,,,,,,,
4/13/2020,23698.93,23698.93,23095.35,23390.77,,,,,,,
4/9/2020,23690.66,24008.99,23504.09,23719.37,,,,,,,
4/8/2020,22893.47,23513.4,22682.99,23433.57,,,,,,,
4/7/2020,23537.44,23617.24,22634.45,22653.86,,,,,,,
4/6/2020,21693.63,22783.45,21693.63,22679.99,,,,,,,
4/3/2020,21285.93,21447.81,20863.09,21052.53,,,,,,,
4/2/2020,20819.46,21477.77,20735.02,21413.44,,,,,,,
4/1/2020,21227.38,21487.24,20784.43,20943.51,,,,,,,
3/31/2020,22208.42,22480.37,21852.08,21917.16,,,,,,,
3/30/2020,21678.22,22378.09,21522.08,22327.48,,,,,,,
3/27/2020,21898.47,22327.57,21469.27,21636.78,,,,,,,
3/26/2020,21468.38,22595.06,21427.1,22552.17,,,,,,,
3/25/2020,21050.34,22019.93,20538.34,21200.55,,,,,,,
3/24/2020,19722.19,20737.7,19649.25,20704.91,,,,,,,
3/23/2020,19028.36,19121.01,18213.65,18591.93,,,,,,,
3/20/2020,20253.15,20531.26,19094.27,19173.98,,,,,,,
3/19/2020,19830.01,20442.63,19177.13,20087.19,,,,,,,
3/18/2020,20188.69,20489.33,18917.46,19898.92,,,,,,,
3/17/2020,20487.05,21379.35,19882.26,21237.38,,,,,,,
3/16/2020,20917.53,21768.28,20116.46,20188.52,,,,,,,
3/13/2020,21973.82,23189.76,21285.37,23185.62,,,,,,,
3/12/2020,22184.71,22837.95,21154.46,21200.62,,,,,,,
3/11/2020,24604.63,24604.63,23328.32,23553.22,,,,,,,
3/10/2020,24453,25020.99,23690.34,25018.16,,,,,,,
3/9/2020,24992.36,24992.36,23706.07,23851.02,,,,,,,
3/6/2020,25457.21,25994.38,25226.62,25864.78,,,,,,,
3/5/2020,26671.92,26671.92,25943.33,26121.28,,,,,,,
