Date,Open,High,Low,Closing Price,Adj Close,Volume,,Monthly Average (Close),,Monthly Average (Close),Monthly Return,,
9/3/2019,6.39,6.44,6,6.27,6.225393,8416700,,Sep.19,8.352,2019.9.1,,,Average Monthly Return
9/4/2019,6.41,6.98,6.38,6.8,6.751623,8511800,,Oct.19,6.98826087,2019.10.1,-0.16,,1.53234715
9/5/2019,6.92,7.43,6.84,7.38,7.327497,8993400,,Nov.19,6.1665,2019.11.1,-0.12,,
9/6/2019,7.23,7.34,6.8,7.27,7.218279,6681800,,Dec.19,6.116190476,2019.12.1,-0.01,,Average Monthly Standard Deviation
9/9/2019,7.43,8.08,7.38,8.04,7.982801,9310300,,Jan.20,6.012857143,2020.1.1,-0.02,,5.700954604
9/10/2019,8,8.76,7.84,7.93,7.873583,12759100,,Feb.20,3.156315789,2020.2.1,-0.48,,
9/11/2019,8.14,8.68,7.65,7.93,7.873583,13250500,,Mar.20,1.161363636,2020.3.1,-0.63,,
9/12/2019,7.54,7.8,7.31,7.49,7.436714,9563600,,Apr.20,0.625714286,2020.4.1,-0.46,,
9/13/2019,7.61,7.88,7.3,7.54,7.486358,8687600,,May.20,0.9975,2020.5.1,0.59,,
9/16/2019,9.45,11.85,9.32,11.23,11.150106,56374600,,Jun.20,1.472727273,2020.6.1,0.48,,
9/17/2019,10.96,11.05,9.1,9.42,9.352983,35381300,,Jul.20,1.019545455,2020.7.1,-0.31,,
9/18/2019,9.13,9.76,9.06,9.52,9.452272,12568600,,Aug.20,0.918095238,2020.8.1,-0.10,,
9/19/2019,9.9,10.01,8.56,8.97,8.906184,15470800,,Sep.20,18.91190486,2020.9.1,19.60,,
9/20/2019,9.04,9.76,8.99,9.63,9.561489,17372900,,,,,,,
9/23/2019,9.27,9.83,9.15,9.52,9.452272,8160800,,2020 (3m),2020 (6m),,Monthly Risk Premium (6m),,
9/24/2019,9.42,9.54,8.77,8.8,8.737394,9149100,,0.35012,0.35968,Oct.19,-2.217362942,,
9/25/2019,8.58,8.97,8.33,8.93,8.866469,6743000,,,,Nov.19,-2.171671613,,
9/26/2019,8.83,8.83,8.29,8.39,8.330311,7786800,,2019 (3m),2019 (6m),Dec.19,-2.062238522,,
9/27/2019,8.15,8.44,7.85,7.95,7.893441,6934500,,2.06248,2.05408,Jan.20,-0.376575048,,
9/30/2019,7.78,8.05,7.58,8.03,7.972872,6382300,,,,Feb.20,-0.834752214,,
10/1/2019,8.1,8.21,7.23,7.26,7.20835,6542100,,,,Mar.20,-0.991730874,,
10/2/2019,7.25,7.66,7.02,7.11,7.059417,8064900,,,,Apr.20,-0.82090449,,
10/3/2019,7.03,7.33,6.6,7.31,7.257994,8698600,,,,May.20,0.234498082,,
10/4/2019,7.09,7.3,6.93,7.24,7.188492,7321400,,,,Jun.20,0.116738319,,
10/7/2019,7.34,7.41,6.9,7.21,7.158706,6453200,,,,Jul.20,-0.667396049,,
10/8/2019,7.03,7.3,6.83,6.83,6.781409,5239200,,,,Aug.20,-0.459185339,,
10/9/2019,6.97,7.13,6.72,6.93,6.880697,7572100,,,,Sep.20,19.23938649,,
10/10/2019,6.94,7.17,6.59,6.86,6.811196,8806100,,,,,,,
10/11/2019,7,7.69,6.95,7.43,7.377141,10120500,,,,,,,
10/14/2019,7.2,7.41,6.85,7.25,7.198421,7493700,,,,,,,
10/15/2019,7.15,7.19,6.53,6.73,6.682121,15359800,,,,,,,
