Date,Close/Last,Volume,Open,High,Low,,Monthly Average (Close),Monthly Return,,
9/30/2020,40.22,323219,39.16,40.09,39.81,,2019.9.1,,,
9/29/2020,39.29,356884,40.58,40.7,38.41,,2019.10.1,-0.05,,Average Monthly Return
9/28/2020,40.6,212719,40.07,40.8,39.78,,2019.11.1,0.06,,0.011464152
9/25/2020,40.25,214146,40.15,40.64,39.71,,2019.12.1,0.05,,
9/24/2020,40.31,258227,39.6,40.37,39.12,,2020.1.1,-0.04,,Average Monthly Standard Deviation
9/23/2020,39.93,298174,39.76,40.72,39.49,,2020.2.1,-0.12,,0.304960545
9/22/2020,39.6,15651,39.63,40.02,39,,2020.3.1,-0.40,,
9/21/2020,39.31,33734,40.98,41.27,38.66,,2020.4.1,-0.45,,
9/18/2020,41.11,73755,40.97,41.18,40.57,,2020.5.1,0.71,,
9/17/2020,40.97,262034,40.19,41.22,39.42,,2020.6.1,0.34,,
9/16/2020,40.16,342971,38.35,40.34,38.35,,2020.7.1,0.06,,
9/15/2020,38.28,314656,37.28,38.57,37.06,,2020.8.1,0.04,,
9/14/2020,37.26,309669,37.32,37.68,36.82,,2020.9.1,-0.06,,
9/11/2020,37.33,331966,37.01,37.82,36.67,,,,,
9/10/2020,37.3,338923,37.8,38.18,36.93,,,,,
9/9/2020,38.05,428422,36.79,38.45,36.16,,,,,
9/8/2020,36.76,686873,39.48,39.59,36.13,,,,,
9/4/2020,39.77,423209,41.25,40.9,39.35,,,,,
9/3/2020,41.37,393678,41.63,41.79,40.22,,,,,
9/2/2020,41.51,396996,43.02,43.21,41.23,,,,,
9/1/2020,42.76,269697,42.83,43.43,42.72,,,,,
8/31/2020,42.61,219480,42.91,43.57,42.56,,,,,
8/28/2020,42.97,255609,42.98,43.42,42.69,,,,,
8/27/2020,43.04,305095,43.45,43.5,42.36,,,,,
8/26/2020,43.39,249771,43.39,43.78,43,,,,,
8/25/2020,43.35,316506,42.36,43.57,42.31,,,,,
8/24/2020,42.62,276796,42.48,42.89,42.23,,,,,
8/21/2020,42.34,328732,42.75,42.96,41.46,,,,,
8/20/2020,42.58,17963,42.74,42.79,41.5,,,,,
8/19/2020,42.93,44996,42.6,43.03,42.36,,,,,
8/18/2020,42.55,94785,42.79,42.99,42.11,,,,,
8/17/2020,42.89,187797,42.24,42.97,41.8,,,,,
8/14/2020,42.01,281945,42.33,42.57,41.62,,,,,
8/13/2020,42.24,282898,42.57,42.84,42.09,,,,,
8/12/2020,42.67,359950,41.62,42.9,41.53,,,,,
8/11/2020,41.61,399369,41.98,42.94,41.48,,,,,
8/10/2020,41.94,328469,41.5,42.33,41.17,,,,,
8/7/2020,41.22,365478,41.97,42.22,41.06,,,,,
8/6/2020,41.95,339186,42.19,42.65,41.61,,,,,
8/5/2020,42.19,472591,41.56,43.52,41.47,,,,,
8/4/2020,41.7,427371,40.78,42.08,40.14,,,,,
8/3/2020,41.01,313783,40.39,41.24,39.58,,,,,
7/31/2020,40.27,293852,40.34,40.55,39.66,,,,,
7/30/2020,39.92,457153,41.32,41.39,38.72,,,,,
7/29/2020,41.27,279638,41.13,41.57,40.93,,,,,
7/28/2020,41.04,262616,41.65,41.93,40.85,,,,,
7/27/2020,41.6,364710,41.26,41.82,40.48,,,,,
7/24/2020,41.29,338941,41.06,41.67,40.66,,,,,
7/23/2020,41.07,374334,41.95,42.36,40.83,,,,,
7/22/2020,41.9,319723,41.54,42.03,41.14,,,,,
7/21/2020,41.96,17724,40.65,42.4,40.64,,,,,
7/20/2020,40.81,38909,40.64,40.91,39.83,,,,,
7/17/2020,40.59,72124,40.69,40.9,40.02,,,,,
7/16/2020,40.75,183794,40.97,41.18,40.52,,,,,
7/15/2020,41.2,327910,40.55,41.26,40.08,,,,,
7/14/2020,40.29,389537,40.17,40.55,40.1,,,,,
7/13/2020,40.1,345391,40.35,40.72,39.47,,,,,
7/10/2020,40.55,366208,39.58,40.77,38.54,,,,,
7/9/2020,39.62,345020,40.87,40.99,39.27,,,,,
7/8/2020,40.9,263558,40.48,41.08,40.3,,,,,
7/7/2020,40.62,239403,40.68,40.95,39.9,,,,,
7/6/2020,40.63,273028,40.31,41.08,40.15,,,,,
7/2/2020,40.65,326235,39.78,40.74,39.46,,,,,
7/1/2020,39.82,386998,39.77,39.96,39.57,,,,,
6/30/2020,39.27,349492,39.72,40.08,38.98,,,,,
6/29/2020,39.7,327055,37.96,39.89,37.5,,,,,
6/26/2020,38.49,338747,39.09,39.35,37.79,,,,,
6/25/2020,38.72,437229,38.05,39.23,37.08,,,,,
6/24/2020,38.01,483384,39.99,40.54,37.31,,,,,
6/23/2020,40.37,356573,40.68,41.63,39.76,,,,,
6/22/2020,40.46,18811,39.18,40.7,39.12,,,,,
6/19/2020,39.75,44183,38.85,40.49,38.4,,,,,
6/18/2020,38.84,96816,37.74,38.97,37.11,,,,,
6/17/2020,37.96,225264,37.93,38.75,37.21,,,,,
6/16/2020,38.38,339007,37.05,39.06,36.38,,,,,
6/15/2020,37.12,353541,36.03,37.26,34.36,,,,,
6/12/2020,36.26,380344,36.26,36.99,34.48,,,,,
6/11/2020,36.34,493629,39.09,39.09,35.41,,,,,
6/10/2020,39.6,362966,38.5,39.91,37.73,,,,,
6/9/2020,38.94,370929,38.22,39.1,37.07,,,,,
6/8/2020,38.19,397386,39.41,40.44,37.96,,,,,
6/5/2020,39.55,376424,37.33,39.68,37.05,,,,,
6/4/2020,37.41,289254,36.76,37.62,36.38,,,,,
6/3/2020,37.29,479243,36.86,38.18,35.88,,,,,
6/2/2020,36.81,320931,35.56,37.06,35.28,,,,,
6/1/2020,35.44,366173,35.21,35.9,34.27,,,,,
5/29/2020,35.49,420891,33.68,35.77,32.36,,,,,
5/28/2020,33.71,420609,32.1,34.21,31.14,,,,,
5/27/2020,32.81,401527,34.14,34.32,31.75,,,,,
5/26/2020,34.35,453480,33.79,34.81,32.48,,,,,
5/22/2020,33.25,411001,33.95,34,30.72,,,,,
5/21/2020,33.92,359977,33.53,34.66,33.26,,,,,
5/20/2020,33.49,392364,31.89,33.78,31.56,,,,,
5/19/2020,32.5,19099,32.83,33.44,31.34,,,,,
5/18/2020,31.82,57021,29.53,33.32,29.53,,,,,
5/15/2020,29.43,85231,27.64,29.92,27.24,,,,,
5/14/2020,27.56,130795,25.56,27.96,25.18,,,,,
5/13/2020,25.29,122446,25.3,26.45,24.79,,,,,
5/12/2020,25.78,160903,24.49,26.23,24.22,,,,,
5/11/2020,24.14,157369,24.49,25.58,23.67,,,,,
5/8/2020,24.74,178222,23.35,24.99,23.26,,,,,
5/7/2020,23.55,288733,24.09,26.74,22.94,,,,,
5/6/2020,23.99,357184,25.52,26.08,22.58,,,,,
5/5/2020,24.56,363452,21.24,25.49,21.13,,,,,
5/4/2020,20.39,286630,19.11,21.42,18.05,,,,,
5/1/2020,19.78,368386,19.04,20.48,18.07,,,,,
4/30/2020,18.84,501420,19.23,19.44,18.11,,,,,
