Date, Open, High, Low, Close,,Monthly Average (Close),,,Monthly Return,,
9/30/2020,1650.32,1654.18,1625.49,1625.49,,2019/09,1579.133158,,,,
9/29/2020,1650.71,1665.9,1645.48,1658.1,,2019/10,1617.119048,,0.0240549,,Average Monthly Return
9/28/2020,1646.28,1661.93,1641.15,1661.93,,2019/11,1697.373,,0.049627733,,0.00467641
9/25/2020,1634.72,1636.77,1629.34,1634.23,,2019/12,1724.58619,,0.016032534,,
9/24/2020,1634.61,1636.48,1624.5,1626.44,,2020/01,1719.058421,,-0.003205273,,Average Monthly Standard Deviation
9/23/2020,1638.82,1646.62,1632.8,1644.25,,2020/02,1669.974444,,-0.028552826,,0.061580199
9/18/2020,1638.89,1647.78,1638.6,1646.42,,2020/03,1385.570952,,-0.170304098,,
9/17/2020,1642.48,1645.36,1634.21,1638.4,,2020/04,1412.345238,,0.019323648,,
9/16/2020,1639.02,1647.68,1637.56,1644.35,,2020/05,1488.059444,,0.053608852,,
9/15/2020,1643.68,1644.5,1635.12,1640.84,,2020/06,1585.746364,,0.065647189,,
9/14/2020,1641.13,1652.2,1640.53,1651.1,,2020/07,1560.758571,,-0.015757748,,
9/11/2020,1619.89,1636.64,1619.43,1636.64,,2020/08,1595.0845,,0.021993106,,
9/10/2020,1615.05,1625.3,1614.48,1624.86,,2020/09,1632.8065,,0.023648904,,
9/9/2020,1598.12,1607.66,1593.89,1605.4,,,,,,,
9/8/2020,1614.41,1620.89,1609.28,1620.89,,,,,,,
9/7/2020,1613.18,1619.1,1607.43,1609.74,,,,,,,
9/4/2020,1611.33,1619.66,1610.39,1616.6,,,,,,,
9/3/2020,1639.4,1639.59,1628.43,1631.24,,,,,,,
9/2/2020,1622.62,1623.46,1616.72,1623.4,,,,,,,
9/1/2020,1613.64,1618.54,1606.84,1615.81,,,,,,,
8/31/2020,1621.93,1635.64,1617.66,1618.18,,,,,,,
8/28/2020,1621.39,1636.57,1590.83,1604.87,,,,,,,
8/27/2020,1623.8,1624.77,1614.13,1615.89,,,,,,,
8/26/2020,1619.38,1624.48,1616.73,1624.48,,,,,,,
8/25/2020,1625.41,1633.91,1624.11,1625.23,,,,,,,
8/24/2020,1604.16,1608.13,1600.03,1607.13,,,,,,,
8/21/2020,1608.91,1615.99,1602.43,1604.06,,,,,,,
8/20/2020,1605.76,1612.56,1598.35,1599.2,,,,,,,
8/19/2020,1604.98,1616.15,1603.01,1613.73,,,,,,,
8/18/2020,1607.87,1612.89,1599.8,1610.85,,,,,,,
8/17/2020,1618.57,1624.41,1609.82,1609.82,,,,,,,
8/14/2020,1624.61,1627.86,1619.16,1623.38,,,,,,,
8/13/2020,1619.96,1628.67,1614.28,1624.15,,,,,,,
8/12/2020,1588.8,1607.92,1586.21,1605.53,,,,,,,
8/11/2020,1561.16,1586.02,1560.17,1585.96,,,,,,,
8/7/2020,1549.96,1553.41,1540.23,1546.74,,,,,,,
8/6/2020,1552.88,1559.44,1545.56,1549.88,,,,,,,
8/5/2020,1548.57,1555.75,1540.17,1554.71,,,,,,,
8/4/2020,1537.84,1555.62,1537.78,1555.26,,,,,,,
8/3/2020,1510.23,1523.04,1508.13,1522.64,,,,,,,
7/31/2020,1531.82,1533.45,1496.06,1496.06,,,,,,,
7/30/2020,1554.13,1554.55,1538.77,1539.47,,,,,,,
7/29/2020,1560.67,1562.04,1548.33,1549.04,,,,,,,
7/28/2020,1575.74,1583.76,1566.93,1569.12,,,,,,,
7/27/2020,1556.81,1576.69,1552.22,1576.69,,,,,,,
7/22/2020,1578.1,1582.77,1572.96,1572.96,,,,,,,
7/21/2020,1579.83,1584.51,1577.48,1582.74,,,,,,,
7/20/2020,1577.61,1578.47,1566.16,1577.03,,,,,,,
7/17/2020,1581,1583.2,1570.38,1573.85,,,,,,,
7/16/2020,1588.6,1590.18,1577.09,1579.06,,,,,,,
7/15/2020,1579.1,1590.62,1578.15,1589.51,,,,,,,
7/14/2020,1564.43,1569.79,1559.7,1565.15,,,,,,,
7/13/2020,1557.17,1573.02,1554.26,1573.02,,,,,,,
7/10/2020,1553.52,1554.49,1535.2,1535.2,,,,,,,
7/9/2020,1555.85,1568.35,1550.53,1557.24,,,,,,,
7/8/2020,1565.26,1579.84,1557.23,1557.23,,,,,,,
7/7/2020,1574.2,1578.34,1565.69,1571.71,,,,,,,
7/6/2020,1555.14,1577.15,1554.97,1577.15,,,,,,,
7/3/2020,1550.38,1552.75,1539.67,1552.33,,,,,,,
7/2/2020,1543.62,1551.36,1536.11,1542.76,,,,,,,
7/1/2020,1562.3,1563.1,1533.94,1538.61,,,,,,,
6/30/2020,1570.28,1573.9,1557.66,1558.77,,,,,,,
6/29/2020,1560.19,1562.06,1547.8,1549.22,,,,,,,
6/26/2020,1571.41,1582.17,1570.15,1577.37,,,,,,,
6/25/2020,1564.96,1572.25,1556.36,1561.85,,,,,,,
6/24/2020,1583.31,1586.57,1577.23,1580.5,,,,,,,
6/23/2020,1588.99,1597.23,1569.75,1587.14,,,,,,,
6/22/2020,1577,1587.1,1574.57,1579.09,,,,,,,
6/19/2020,1588.64,1588.64,1574.93,1582.8,,,,,,,
6/18/2020,1581.18,1586.31,1566.56,1583.09,,,,,,,
